year,size,male,age,edu,edu1,edu2,edu3,edu4,mar,tenure,metro,oc1,oc2,oc3,oc4,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,non_regular,weektime,hourlywage,hourly_wage_r
2005,8,1,37,16,0,0,0,1,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2004,8,0,31,14,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,48,1,1
2003,8,0,49,12,0,1,0,0,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,70,0,0
2005,8,1,38,16,0,0,0,1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2005,8,1,39,12,0,1,0,0,1,20,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2002,8,1,52,9,1,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2006,8,1,42,16,0,0,0,1,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,3,3
2006,8,1,28,12,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,70,1,1
2005,8,0,26,14,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,1,1
2006,8,1,39,14,0,0,1,0,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2004,8,1,47,16,0,0,0,1,1,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,4,5
2003,8,1,39,16,0,0,0,1,1,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,48,1,2
2006,8,1,31,16,0,0,0,1,1,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,55,1,1
2004,8,1,32,21,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2003,8,1,32,16,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,45,1,2
2006,8,1,34,12,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,45,2,2
2003,8,1,36,14,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,50,1,1
2006,8,1,48,16,0,0,0,1,1,21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2002,8,1,32,18,0,0,0,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,1,1
2002,8,1,24,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0
2005,8,1,62,20,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,3,3
2002,8,1,44,9,1,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,1
2002,8,1,48,12,0,1,0,0,1,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,70,1,1
2003,8,0,46,9,1,0,0,0,1,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,0,0
2005,8,1,34,16,0,0,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,66,1,1
2002,8,1,29,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,48,1,1
2006,8,1,48,12,0,1,0,0,1,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,40,3,3
2004,8,1,28,14,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,72,0,1
2006,8,0,27,16,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2004,8,0,30,12,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,50,0,0
2006,8,1,27,14,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,40,1,1
2004,8,1,38,16,0,0,0,1,1,15,1,1,0,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2005,8,1,35,12,0,1,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,2
2003,8,1,31,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,1,2
2005,8,1,28,14,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,1,1
2003,8,1,33,14,0,0,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,64,1,1
2006,8,1,53,12,0,1,0,0,1,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,1,1
2004,8,1,49,12,0,1,0,0,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
